Unofficial Results Add on #5 - Projected Outstanding Ballots 90,000      (Next Update 3/10/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ERIK CHASE GERHARDT","4","0","0","59","0","59","1862","1862","5180"
"PRESIDENT OF THE UNITED STATES  GREEN","DAVID ROLDE","3","0","0","51","0","51","1862","1862","1560"
"PRESIDENT OF THE UNITED STATES  GREEN","HOWIE HAWKINS","3","0","0","283","0","283","1862","1862","1560"
"PRESIDENT OF THE UNITED STATES  GREEN","DARIO HUNTER","3","0","0","183","0","183","1862","1862","1560"
"PRESIDENT OF THE UNITED STATES  GREEN","DENNIS LAMBERT","3","0","0","106","0","106","1862","1862","1560"
"PRESIDENT OF THE UNITED STATES  GREEN","SEDINAM MOYOWASIFZA-CURRY","3","0","0","155","0","155","1862","1862","1560"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","MIKE LEVIN","7","0","0","86741","0","86741","326","326","152428"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","BRIAN MARYOTT","1","0","0","60831","0","60831","326","326","152428"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","MARISA CALDERON","7","0","0","8101","0","8101","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","AMMAR CAMPA-NAJJAR","7","0","0","60530","0","60530","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","JOSE CORTES","5","0","0","1168","0","1168","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HELEN L. HORVATH","6","0","0","896","0","896","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","NATHAN ""NATE"" WILKINS","1","0","0","3364","0","3364","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HENRY ALAN OTA","6","0","0","700","0","700","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","CARL DEMAIO","1","0","0","33839","0","33839","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","LUCINDA KWH JAHN","6","0","0","304","0","304","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","BRIAN W. JONES","1","0","0","18583","0","18583","375","375","169505"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","DARRELL ISSA","1","0","0","37410","0","37410","375","375","169505"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN M HIDALGO  JR","1","0","0","20095","0","20095","267","267","73829"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN C. VARGAS","7","0","0","51701","0","51701","267","267","73829"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","NANCY L. CASADY","7","0","0","29986","0","29986","435","435","215203"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","RYAN CUNNINGHAM","6","0","0","4981","0","4981","435","435","215203"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","1","0","0","68062","0","68062","435","435","215203"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","7","0","0","101526","0","101526","435","435","215203"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FAMELA RAMOS","1","0","0","13445","0","13445","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSE CABALLERO","7","0","0","2604","0","2604","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","TOM WONG","7","0","0","6020","0","6020","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSEPH R. FOUNTAIN","7","0","0","2974","0","2974","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","MICHAEL PATRICK ORISTIAN","1","0","0","13471","0","13471","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ERIC ROGER KUTNER","7","0","0","579","0","579","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SUZETTE SANTORI","7","0","0","1244","0","1244","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","CHRIS STODDARD","1","0","0","23745","0","23745","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ANNETTE MEZA","7","0","0","3336","0","3336","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","7","0","0","51192","0","51192","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOAQUÍN VÃZQUEZ","7","0","0","2276","0","2276","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOHN BROOKS","7","0","0","2376","0","2376","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FERNANDO GARCIA","6","0","0","1456","0","1456","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JANESSA GOLDBECK","7","0","0","15008","0","15008","459","459","187021"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","7","0","0","35863","0","35863","459","459","187021"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","7","0","0","185312","0","185312","605","605","282689"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","LIZ ""ELIZABETH"" LAVERTU","7","0","0","39849","0","39849","285","285","110885"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","RANDY VOEPEL","1","0","0","64203","0","64203","285","285","110885"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","KAREN ""KATE"" SCHWARTZ","7","0","0","33176","0","33176","201","201","93414"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","MARIE WALDRON","1","0","0","49017","0","49017","201","201","93414"
